measure_date,best_before,taste,buyer,silver
2017-12-10,2018-09-01,1,A,0
2017-12-10,2018-09-01,1,A,0
2017-12-10,2018-09-01,1,A,0
2017-12-10,2018-09-01,1,A,0
2017-12-10,2018-09-01,1,A,0
2017-12-22,2018-07-01,4,B,1
2017-12-22,2018-07-01,4,B,0
2017-12-28,2018-07-01,4,A,1
2017-12-28,2018-07-01,4,A,0
2017-12-28,2018-07-01,4,A,0
2017-12-28,2018-07-01,4,A,0
2017-12-28,2018-07-01,4,A,0
2018-01-03,2018-07-01,4,A,0
2018-01-03,2018-07-01,4,A,0
2018-01-27,2018-06-01,0,B,0
2018-02-25,2018-11-01,6,A,0
2018-02-25,2018-11-01,6,A,0
2018-02-25,2018-11-01,6,A,0
2018-02-25,2018-11-01,6,A,0
2018-03-01,2018-10-01,0,C,0
2018-03-01,2018-10-01,0,C,0
2018-03-04,2019-01-01,1,A,0
2018-03-04,2019-01-01,1,A,0
2018-03-04,2019-01-01,1,A,0
2018-03-04,2019-01-01,1,A,0
2018-03-07,2018-10-01,0,B,0
2018-03-07,2018-10-01,0,B,0
2018-03-07,2018-10-01,0,B,0
2018-03-22,2018-10-01,0,C,0
2018-03-22,2018-10-01,0,C,0
2018-03-29,2018-11-01,0,C,0
2018-03-29,2018-11-01,0,C,0
2018-03-29,2018-11-01,0,C,0
2018-04-01,2019-01-01,1,C,0
2018-04-02,2018-11-01,0,A,0
2018-04-02,2018-10-01,0,A,0
2018-04-10,2018-11-01,0,A,0
2018-04-10,2018-11-01,0,A,0
2018-04-10,2018-11-01,0,A,0
2018-04-11,2018-10-01,0,C,0
2018-04-11,2018-10-01,0,C,0
2018-04-11,2018-10-01,0,C,0
2018-04-12,2018-11-01,0,C,0
2018-04-12,2018-11-01,1,C,0
2018-04-14,2018-11-01,0,C,0
2018-04-14,2018-11-01,0,C,0
2018-04-14,2018-09-01,0,A,0
2018-04-14,2018-09-01,0,A,0
2018-04-14,2018-09-01,0,A,0
2018-04-14,2018-09-01,0,A,0
2018-04-14,2018-09-01,0,A,0
2018-04-18,2018-10-01,0,B,0
2018-04-18,2018-10-01,0,B,0
2018-04-18,2018-10-01,0,B,0
2018-04-18,2018-11-01,0,C,0
2018-04-18,2018-11-01,0,C,0
2018-04-18,2018-11-01,0,C,0
2018-04-22,2018-11-01,0,A,0
2018-04-22,2018-11-01,0,A,0
2018-04-22,2018-12-01,0,C,0
2018-04-22,2018-12-01,0,C,0
2018-04-23,2018-11-01,0,B,0
2018-04-23,2018-11-01,0,B,0
2018-04-23,2018-11-01,0,B,0
2018-04-23,2018-10-01,0,B,0
2018-04-23,2018-10-01,0,B,0
2018-04-26,2018-12-01,0,A,0
2018-04-26,2018-12-01,0,A,0
2018-04-29,2018-11-01,0,A,0
2018-04-29,2018-11-01,0,A,1
2018-04-29,2018-11-01,0,A,1
2018-04-29,2018-11-01,0,A,0
2018-05-11,2018-11-01,0,A,0
2018-05-11,2018-11-01,0,A,0
2018-05-11,2018-11-01,0,A,0
2018-05-11,2018-11-01,0,A,0
2018-05-12,2018-11-01,0,A,0
2018-05-12,2018-11-01,0,A,0
2018-05-12,2018-11-01,0,A,1
2018-05-12,2018-11-01,0,A,0
2018-05-14,2018-11-01,0,B,1
2018-05-14,2018-11-01,0,B,0
2018-05-14,2018-11-01,0,B,0
2018-05-14,2018-11-01,0,B,0
2018-05-15,2018-12-01,0,C,0
2018-05-15,2018-12-01,0,C,0
2018-05-16,2018-11-01,0,A,0
2018-05-16,2018-11-01,0,A,0
2018-05-16,2018-11-01,0,A,0
2018-05-16,2018-11-01,0,A,0
2018-05-19,2018-10-01,0,B,0
2018-05-19,2018-11-01,0,B,0
2018-05-19,2018-11-01,0,B,0
2018-05-19,2018-10-01,0,B,0
2018-05-22,2018-11-01,0,A,0
2018-05-22,2018-11-01,0,A,0
2018-05-22,2018-11-01,0,A,0
2018-05-22,2018-11-01,0,A,0
2018-05-25,2018-12-01,0,A,0
2018-05-28,2018-11-01,0,A,0
2018-05-28,2018-11-01,0,A,0
2018-05-28,2018-11-01,0,A,0
2018-05-28,2018-11-01,0,A,0
2018-06-06,2018-12-01,0,C,0
2018-06-06,2018-12-01,0,C,1
2018-06-06,2018-12-01,0,C,0
2018-06-06,2018-12-01,0,C,0
2018-06-06,2018-12-01,0,C,0
2018-06-07,2018-12-01,0,C,0
2018-06-07,2018-12-01,0,C,0
2018-06-10,2018-11-01,0,A,0
2018-06-10,2018-11-01,0,A,0
2018-06-10,2018-11-01,0,A,0
2018-06-10,2018-11-01,0,A,0
2018-06-11,2019-01-01,0,C,0
2018-06-11,2019-01-01,0,C,0
2018-06-13,2019-01-01,0,B,0
2018-06-13,2019-01-01,0,B,0
2018-06-17,2019-01-01,0,C,0
2018-06-17,2019-01-01,0,C,0
2018-06-17,2019-01-01,0,C,0
2018-06-17,2019-01-01,0,C,0
2018-06-19,2019-01-01,0,C,0
2018-06-19,2019-01-01,0,C,0
