measure_date,weight,box_weight,ball_number,angel,campaign,taste,net_weight,mean_weight
2017-11-19,34.001999999999995,4.756,16,0,1,0,29.245999999999995,1.8278749999999997
2017-11-20,34.435,4.805,17,0,1,0,29.630000000000003,1.7429411764705884
2017-11-21,34.0,4.815,18,0,1,0,29.185,1.6213888888888888
2017-11-22,34.193000000000005,4.8180000000000005,17,0,1,0,29.375000000000004,1.7279411764705885
2017-11-23,35.344,4.836,16,0,1,0,30.508000000000003,1.9067500000000002
2017-11-23,34.031,4.836,18,0,1,0,29.195,1.6219444444444444
2017-11-23,34.198,4.834,18,0,1,0,29.364,1.6313333333333333
2017-11-23,34.359,4.863,20,0,1,0,29.496000000000002,1.4748
2017-11-23,34.363,4.7989999999999995,17,0,1,0,29.564,1.7390588235294118
2017-11-23,34.265,4.829,18,0,1,0,29.436,1.6353333333333333
2017-11-23,34.111999999999995,4.8069999999999995,17,0,1,0,29.304999999999996,1.7238235294117645
2017-11-23,34.266999999999996,4.849,17,0,1,0,29.417999999999996,1.7304705882352938
2017-11-23,34.593,4.811,16,0,1,0,29.782000000000004,1.8613750000000002
2017-11-23,34.273,4.832,18,0,1,0,29.441000000000003,1.6356111111111113
2017-11-23,34.342,4.819,19,0,1,0,29.523,1.553842105263158
2017-11-25,34.941,4.84,18,0,1,0,30.101000000000003,1.672277777777778
2017-11-25,34.138000000000005,4.806,17,0,1,0,29.332000000000004,1.7254117647058826
2017-11-25,34.193000000000005,4.81,18,0,1,0,29.383000000000006,1.6323888888888893
2017-11-25,34.097,4.803,17,0,1,0,29.294,1.7231764705882353
2017-11-25,34.442,4.8260000000000005,17,0,1,0,29.616,1.7421176470588235
2017-11-26,34.113,4.815,18,0,1,0,29.298,1.6276666666666666
2017-11-26,34.343,4.834,19,0,1,0,29.509000000000004,1.553105263157895
2017-11-26,34.124,4.835,18,0,1,0,29.289,1.6271666666666667
2017-11-26,34.223,4.805,18,0,1,0,29.418,1.6343333333333332
2017-11-27,34.245,4.755,18,0,1,0,29.49,1.6383333333333332
2017-11-27,34.08,4.768,17,0,1,0,29.311999999999998,1.7242352941176469
2017-11-28,34.451,4.779,17,0,1,0,29.672,1.7454117647058824
2017-11-28,34.202,4.777,18,0,1,0,29.424999999999997,1.634722222222222
2017-11-30,34.115,4.791,18,0,1,0,29.324,1.6291111111111112
2017-11-30,34.284,4.857,19,0,1,0,29.427,1.5487894736842105
2017-12-03,34.211999999999996,4.823,18,0,1,0,29.388999999999996,1.632722222222222
2017-12-03,35.28,4.8180000000000005,19,0,1,0,30.462,1.6032631578947367
2017-12-04,34.513000000000005,4.71,16,0,2,0,29.803000000000004,1.8626875000000003
2017-12-04,33.644,4.731,16,0,2,0,28.912999999999997,1.8070624999999998
2017-12-04,34.14,4.787,18,0,1,0,29.353,1.6307222222222224
2017-12-04,34.001999999999995,4.798,17,0,1,0,29.203999999999994,1.7178823529411762
2017-12-04,34.667,4.823,17,0,1,0,29.844,1.755529411764706
2017-12-05,34.144,4.7780000000000005,17,0,1,0,29.366,1.7274117647058824
2017-12-05,33.918,4.7860000000000005,16,0,1,0,29.131999999999998,1.8207499999999999
2017-12-07,34.141999999999996,4.753,17,0,1,0,29.388999999999996,1.7287647058823528
2017-12-07,34.033,4.763,18,0,1,0,29.270000000000003,1.6261111111111113
2017-12-09,34.364000000000004,4.845,16,0,1,0,29.519000000000005,1.8449375000000003
2017-12-09,34.69,4.861000000000001,16,0,1,0,29.828999999999997,1.8643124999999998
2017-12-09,36.507,4.8260000000000005,23,0,1,2,31.680999999999997,1.3774347826086955
2017-12-09,35.141999999999996,4.831,22,0,1,2,30.310999999999996,1.3777727272727271
2017-12-10,31.103,4.776,15,0,2,1,26.327,1.7551333333333334
2017-12-10,31.476999999999997,4.7669999999999995,15,0,2,1,26.709999999999997,1.7806666666666664
2017-12-10,31.615,4.777,15,0,2,1,26.837999999999997,1.7892
2017-12-10,31.212,4.785,15,0,2,1,26.427,1.7618
2017-12-10,31.394000000000002,4.819,15,0,2,1,26.575000000000003,1.771666666666667
2017-12-12,34.222,4.89,15,0,1,0,29.332,1.9554666666666667
2017-12-13,34.564,4.882,16,0,1,0,29.682000000000002,1.8551250000000001
2017-12-14,33.925,4.8,16,0,1,0,29.124999999999996,1.8203124999999998
2017-12-14,34.2,4.803999999999999,16,0,1,0,29.396000000000004,1.8372500000000003
2017-12-15,34.326,4.8,18,0,1,0,29.526,1.6403333333333334
2017-12-15,34.0098,4.824,18,0,1,0,29.1858,1.6214333333333333
2017-12-15,35.308,4.766,22,0,1,3,30.542,1.3882727272727273
2017-12-22,30.186999999999998,5.914,15,1,0,4,24.272999999999996,1.6181999999999996
2017-12-22,29.858,5.847,16,0,0,4,24.011,1.5006875
2017-12-23,34.293,4.812,16,0,1,0,29.480999999999998,1.8425624999999999
2017-12-23,34.852,4.784,18,0,1,0,30.067999999999998,1.6704444444444444
2017-12-25,34.186,4.787,15,0,1,0,29.399,1.9599333333333333
2017-12-25,34.436,4.795,17,0,1,0,29.641,1.7435882352941174
2017-12-28,34.205,4.82,15,0,1,0,29.384999999999998,1.9589999999999999
2017-12-28,34.063,4.835,14,0,1,0,29.228,2.0877142857142856
2017-12-28,34.187,4.812,20,0,1,5,29.374999999999996,1.4687499999999998
2017-12-28,32.824,4.803,19,0,1,5,28.020999999999997,1.4747894736842104
2017-12-28,29.465999999999998,5.8839999999999995,15,1,0,4,23.581999999999997,1.5721333333333332
2017-12-28,29.340999999999998,5.789,15,0,0,4,23.552,1.5701333333333334
2017-12-28,30.68,5.7989999999999995,16,0,0,4,24.881,1.5550625
2017-12-28,29.64,5.796,15,0,0,4,23.844,1.5896000000000001
2017-12-28,29.569000000000003,5.875,15,0,0,4,23.694000000000003,1.5796000000000001
2018-01-03,34.064,4.744,16,0,1,0,29.32,1.8325
2018-01-03,33.953,4.738,15,0,1,0,29.215000000000003,1.9476666666666669
2018-01-03,29.671999999999997,5.901,15,0,0,4,23.770999999999997,1.584733333333333
2018-01-03,31.099,5.822,16,0,0,4,25.277,1.5798125
2018-01-06,33.882,4.758,17,0,1,0,29.124,1.7131764705882353
2018-01-06,34.364000000000004,4.765,17,0,1,0,29.599000000000004,1.7411176470588237
2018-01-08,31.396,4.74,16,0,1,1,26.656,1.666
2018-01-08,31.728,4.761,16,0,1,1,26.967000000000002,1.6854375000000001
2018-01-09,29.706,5.843,16,0,0,4,23.863,1.4914375
2018-01-11,34.048,4.8389999999999995,15,0,1,0,29.209000000000003,1.947266666666667
2018-01-11,34.344,4.813,15,0,1,0,29.531000000000002,1.9687333333333334
2018-01-14,33.855,4.673,16,0,1,0,29.181999999999995,1.8238749999999997
2018-01-14,36.243,4.7219999999999995,23,0,1,3,31.521,1.3704782608695651
2018-01-14,34.419000000000004,4.805,21,0,1,2,29.614000000000004,1.4101904761904764
2018-01-15,34.194,4.731,15,0,1,0,29.463,1.9642000000000002
2018-01-15,35.111,4.753,15,0,1,0,30.357999999999997,2.0238666666666663
2018-01-17,34.089,4.773,15,0,1,0,29.316,1.9544
2018-01-17,33.971,4.78,15,0,1,0,29.190999999999995,1.9460666666666664
2018-01-22,34.321,4.859,16,0,1,0,29.461999999999996,1.8413749999999998
2018-01-22,34.219,4.8260000000000005,15,0,1,0,29.393,1.9595333333333333
2018-01-23,34.208,4.747,16,2,1,0,29.461,1.8413125
2018-01-23,34.171,4.744,16,0,1,0,29.427,1.8391875
2018-01-23,34.192,4.728,15,0,1,0,29.464,1.9642666666666666
2018-01-25,33.875,4.791,15,0,1,0,29.084,1.9389333333333334
2018-01-25,33.998000000000005,4.8,15,0,1,0,29.198000000000004,1.9465333333333337
2018-01-27,35.032,4.708,18,0,2,0,30.323999999999998,1.6846666666666665
2018-01-27,34.09,4.731,15,0,1,0,29.359,1.9572666666666667
2018-01-27,34.096,4.663,16,0,1,0,29.432999999999996,1.8395624999999998
2018-01-27,34.628,4.762,16,0,1,0,29.866,1.866625
2018-01-27,34.22,4.732,14,0,1,0,29.488,2.1062857142857143
2018-01-27,33.999,4.715,15,0,1,0,29.284000000000002,1.9522666666666668
2018-01-28,34.066,4.838,16,0,1,0,29.228,1.82675
2018-01-28,34.17,4.834,15,0,1,0,29.336000000000002,1.9557333333333335
2018-02-08,34.785,4.848,22,0,1,2,29.936999999999998,1.3607727272727272
